true_label,pred_label,correct,margin
0,0,1,4.90739298
0,0,1,2.79103875
0,0,1,2.54048038
0,0,1,6.36839581
0,0,1,2.03264046
0,3,0,1.08118224
0,0,1,2.24347925
0,0,1,2.72880244
0,0,1,3.13634300
0,0,1,3.65131068
0,31,0,0.07104254
0,0,1,1.20576906
0,3,0,0.92278051
0,0,1,3.00923824
0,0,1,4.30206299
0,0,1,4.22879887
0,0,1,0.82108068
0,0,1,4.34062672
0,0,1,2.04569626
0,0,1,2.73229170
0,0,1,2.29046631
0,0,1,3.84273338
0,0,1,4.17725754
0,0,1,3.49739981
0,3,0,1.79484034
0,0,1,2.91509652
0,0,1,1.36134577
0,0,1,3.70798731
0,0,1,2.63349390
0,0,1,6.26455402
0,16,0,0.77041245
0,28,0,1.39519954
0,0,1,3.19324231
0,3,0,1.36027026
0,32,0,1.24069762
0,0,1,0.00491977
0,0,1,1.88986254
0,0,1,2.24324512
0,0,1,3.52783298
0,0,1,4.19518328
0,0,1,3.65788412
0,0,1,0.19238055
0,0,1,1.59016049
0,16,0,3.13503814
0,0,1,1.39272356
0,0,1,3.32550859
0,0,1,1.35550642
0,0,1,1.91955078
0,0,1,4.29825306
0,0,1,3.80204988
0,0,1,2.82841158
0,0,1,1.47040439
0,0,1,1.94455194
0,1,0,5.43610334
0,0,1,1.27169323
0,0,1,0.99129295
0,0,1,1.93922186
0,0,1,2.02263737
0,16,0,2.39452720
0,31,0,0.48596954
0,0,1,1.86161470
0,16,0,0.46423244
0,0,1,3.10480881
0,30,0,1.04314339
0,16,0,1.16585791
0,0,1,4.05636883
0,0,1,1.36973953
0,0,1,2.91189241
0,0,1,4.49941874
0,0,1,1.49431443
0,28,0,1.14160454
0,0,1,0.23155880
0,0,1,3.93503833
0,0,1,0.88432169
0,0,1,0.22129965
0,0,1,1.57831120
0,0,1,4.25076103
0,0,1,3.82366109
0,0,1,2.38534594
0,0,1,2.46145701
0,0,1,6.08528471
0,0,1,3.53424573
0,25,0,0.71233761
0,0,1,1.73855174
0,0,1,0.87721753
0,0,1,4.38787270
0,0,1,7.08251429
0,3,0,0.22204924
0,0,1,7.16310120
0,16,0,2.07092261
0,0,1,1.94771326
0,0,1,0.34534645
0,0,1,1.67933178
0,16,0,0.85364819
0,0,1,0.78946853
1,1,1,5.16087770
1,1,1,5.08834648
1,1,1,1.66502357
1,1,1,2.43577147
1,1,1,2.81940699
1,1,1,4.15824699
1,1,1,3.63486576
1,1,1,2.78757524
1,0,0,0.98883009
1,1,1,6.72484732
1,1,1,7.08307838
1,1,1,5.86613274
1,1,1,5.59440184
1,1,1,8.76980591
1,1,1,3.19126010
1,1,1,7.87533331
1,1,1,4.47454262
1,1,1,2.39522505
1,24,0,1.28231061
1,1,1,3.73577976
1,1,1,5.52998209
1,1,1,3.28210115
1,1,1,6.36281443
1,1,1,8.32847500
1,32,0,0.26285845
1,1,1,7.52192116
1,1,1,0.19231892
1,1,1,8.60146713
1,1,1,7.29359436
1,1,1,3.94180584
1,1,1,3.83174777
1,1,1,2.09113550
1,1,1,9.38290215
1,6,0,2.57797718
1,1,1,5.07872486
1,1,1,5.91843700
1,1,1,2.77302814
1,1,1,4.87602234
1,3,0,2.00886512
1,19,0,1.49352503
1,1,1,4.53197289
1,1,1,1.64642048
1,3,0,0.98202300
1,24,0,0.51711917
1,1,1,6.28837681
1,1,1,7.23660564
1,1,1,4.32341814
1,1,1,7.70125008
1,0,0,1.62977457
1,1,1,2.27043366
1,1,1,3.30937290
1,1,1,2.54563284
1,1,1,5.62312698
1,1,1,4.32351971
1,1,1,3.08476067
1,1,1,8.15985298
1,1,1,2.40426636
1,3,0,2.85971498
1,1,1,6.42784119
1,1,1,3.41314864
1,1,1,3.90973949
1,1,1,9.87557411
1,1,1,0.34688568
1,1,1,3.94045019
1,0,0,0.13587832
1,1,1,4.15479612
1,1,1,6.07416344
1,24,0,0.67289829
1,1,1,4.39342880
1,1,1,5.62189817
1,1,1,2.81892800
1,1,1,0.23601294
1,1,1,1.07119226
1,1,1,3.76336718
1,1,1,1.11027551
1,1,1,1.24998045
1,1,1,7.46327353
1,1,1,6.35009146
1,1,1,8.73706341
1,1,1,3.00175261
1,1,1,0.17443800
1,1,1,0.93295121
1,1,1,6.03418159
1,32,0,0.11564755
1,3,0,1.92160773
1,1,1,6.73413610
1,1,1,3.36210060
