true_label,pred_label,correct,margin,true_name,pred_name
0,0,1,1.00313050,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00133183,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00497943,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00587956,Apple___Apple_scab,Apple___Apple_scab
0,0,1,2.00440615,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00215496,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00290320,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00482315,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00751052,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00786744,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00182802,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00381075,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00027232,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00146378,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00273085,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00210850,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00463762,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00239189,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00210704,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00264141,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00152734,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00245888,Apple___Apple_scab,Apple___Apple_scab
0,0,1,2.01038652,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00839286,Apple___Apple_scab,Apple___Apple_scab
0,3,0,1.00268232,Apple___Apple_scab,Apple___healthy
0,0,1,1.00158771,Apple___Apple_scab,Apple___Apple_scab
0,0,1,0.99982286,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00372306,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00240112,Apple___Apple_scab,Apple___Apple_scab
0,0,1,2.00488034,Apple___Apple_scab,Apple___Apple_scab
0,7,0,1.00188534,Apple___Apple_scab,Corn___Cercospora_leaf_spot Gray_leaf_spot
0,28,0,1.00525042,Apple___Apple_scab,Tomato___Bacterial_spot
0,0,1,1.00231640,Apple___Apple_scab,Apple___Apple_scab
0,3,0,1.00178049,Apple___Apple_scab,Apple___healthy
0,32,0,1.00466634,Apple___Apple_scab,Tomato___Septoria_leaf_spot
0,0,1,1.00280679,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00048305,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00212428,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00301619,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00410737,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00245695,Apple___Apple_scab,Apple___Apple_scab
0,0,1,0.00194797,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00451027,Apple___Apple_scab,Apple___Apple_scab
0,16,0,1.00446737,Apple___Apple_scab,Peach___Bacterial_spot
0,0,1,1.00028653,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00648555,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00442066,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00065301,Apple___Apple_scab,Apple___Apple_scab
0,0,1,1.00401497,Apple___Apple_scab,Apple___Apple_scab
